Experiment: data_t2 vial 3, Tue Aug 29 14:23:24 2023
0.0041,-0.090466438781857
0.0098,-0.090466438781857
0.0155,-0.08804717898858408
0.0212,-0.08417968230430292
0.0269,-0.09337177706101879
0.0327,-0.08611293380080455
0.0384,-0.09191879737753048
0.0441,-0.09385624434211318
0.0498,-0.09143460960661565
0.0555,-0.09143460960661565
0.0612,-0.08707992989182398
0.0669,-0.09240305415787853
0.0726,-0.08998245457359892
0.0783,-0.09240305415787853
0.084,-0.08949853706593702
0.0897,-0.09143460960661565
0.0955,-0.08998245457359892
